ICD11_Code,Title,Module,Category,Code_Type,Parent_Code,Dual_Code_Partner
XM01A0,Fever pattern in traditional medicine,TM2,General symptoms,Traditional_Medicine,XM00,8A43
8A43,Fever unspecified,MMS,General symptoms,Biomedicine,8A4,XM01A0
XM01A1,Cough pattern in traditional medicine,TM2,Respiratory patterns,Traditional_Medicine,XM00,CA80
CA80,Cough,MMS,Respiratory system,Biomedicine,CA8,XM01A1
XM01A2,Breathing difficulty pattern in traditional medicine,TM2,Respiratory patterns,Traditional_Medicine,XM00,MD11.0
MD11.0,Dyspnoea,MMS,Respiratory system,Biomedicine,MD11,XM01A2
XM02A0,Acid-peptic disorder pattern in traditional medicine,TM2,Digestive patterns,Traditional_Medicine,XM00,DA90
DA90,Functional dyspepsia,MMS,Digestive system,Biomedicine,DA9,XM02A0
XM02A1,Intestinal disorder pattern in traditional medicine,TM2,Digestive patterns,Traditional_Medicine,XM00,DD91.0
DD91.0,Irritable bowel syndrome,MMS,Digestive system,Biomedicine,DD91,XM02A1
XM02A2,Hemorrhoid pattern in traditional medicine,TM2,Digestive patterns,Traditional_Medicine,XM00,DB30
DB30,Internal haemorrhoids,MMS,Digestive system,Biomedicine,DB3,XM02A2
XM03A0,Diabetes pattern in traditional medicine,TM2,Metabolic patterns,Traditional_Medicine,XM00,5A11
5A11,Type 2 diabetes mellitus,MMS,Endocrine system,Biomedicine,5A1,XM03A0
XM03A1,Heart disease pattern in traditional medicine,TM2,Circulatory patterns,Traditional_Medicine,XM00,BA00
BA00,Heart disease,MMS,Circulatory system,Biomedicine,BA0,XM03A1
XM04A0,Headache pattern in traditional medicine,TM2,Nervous system patterns,Traditional_Medicine,XM00,8A80.1
8A80.1,Headache unspecified,MMS,Nervous system,Biomedicine,8A80,XM04A0
XM04A1,Joint disorder pattern in traditional medicine,TM2,Musculoskeletal patterns,Traditional_Medicine,XM00,FA20.0
FA20.0,Knee osteoarthritis,MMS,Musculoskeletal system,Biomedicine,FA20,XM04A1
XM04A2,Rheumatic disorder pattern in traditional medicine,TM2,Musculoskeletal patterns,Traditional_Medicine,XM00,FA20.1
FA20.1,Rheumatoid arthritis,MMS,Musculoskeletal system,Biomedicine,FA20,XM04A2
XM05A0,Hepatic-splenic disorder pattern in traditional medicine,TM2,Hepatic patterns,Traditional_Medicine,XM00,DB90
DB90,Hepatomegaly,MMS,Digestive system,Biomedicine,DB9,XM05A0
XM05A1,Urinary disorder pattern in traditional medicine,TM2,Renal patterns,Traditional_Medicine,XM00,GC08
GC08,Urinary retention,MMS,Genitourinary system,Biomedicine,GC0,XM05A1
XM06A0,Menstrual disorder pattern in traditional medicine,TM2,Reproductive patterns,Traditional_Medicine,XM00,GA34.4
GA34.4,Heavy menstrual bleeding,MMS,Genitourinary system,Biomedicine,GA34,XM06A0
XM06A1,Male reproductive disorder pattern in traditional medicine,TM2,Reproductive patterns,Traditional_Medicine,XM00,HA00
HA00,Erectile dysfunction,MMS,Genitourinary system,Biomedicine,HA0,XM06A1
XM07A0,Skin disorder pattern in traditional medicine,TM2,Dermatological patterns,Traditional_Medicine,XM00,EK90
EK90,Skin disorder unspecified,MMS,Skin conditions,Biomedicine,EK9,XM07A0
XM07A1,Eye disorder pattern in traditional medicine,TM2,Sensory patterns,Traditional_Medicine,XM00,9A60
9A60,Eye disease unspecified,MMS,Eye disorders,Biomedicine,9A6,XM07A1
XM07A2,Ear disorder pattern in traditional medicine,TM2,Sensory patterns,Traditional_Medicine,XM00,AB30
AB30,Ear disease unspecified,MMS,Ear disorders,Biomedicine,AB3,XM07A2
XM08A0,Mental disorder pattern in traditional medicine,TM2,Psychiatric patterns,Traditional_Medicine,XM00,6A20
6A20,Schizophrenia,MMS,Mental disorders,Biomedicine,6A2,XM08A0
XM08A1,Epilepsy pattern in traditional medicine,TM2,Nervous patterns,Traditional_Medicine,XM00,8A05
8A05,Epilepsy,MMS,Nervous system,Biomedicine,8A0,XM08A1
XM08A2,Hemiplegia pattern in traditional medicine,TM2,Neurological patterns,Traditional_Medicine,XM00,8A17
8A17,Hemiplegia,MMS,Nervous system,Biomedicine,8A1,XM08A2
XM08A3,Parkinsonism pattern in traditional medicine,TM2,Movement patterns,Traditional_Medicine,XM00,8A00.0
8A00.0,Parkinson disease,MMS,Nervous system,Biomedicine,8A00,XM08A3
XM09A0,Obesity pattern in traditional medicine,TM2,Metabolic patterns,Traditional_Medicine,XM00,5B80
5B80,Obesity,MMS,Endocrine system,Biomedicine,5B8,XM09A0
